gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,customer_num,customer_code
Female,0,1,0,1,0,NULL,DSL,0,1,0,0,0,0,Month-to-month,1,Electronic check,29.8500003814697,"<bound method Series.dropna of 0         29.85 1       1889.50 2        108.15 3       1840.75 4        151.65          ...    7038    1990.50 7039    7362.90 7040     346.45 7041     306.60 7042    6844.50 Name: TotalCharges, Length: 7043, dtype: float64>",0,7590,VHVEG
Male,0,0,0,34,1,0,DSL,1,0,1,0,0,0,One year,0,Mailed check,56.9500007629395,"<bound method Series.dropna of 0         29.85 1       1889.50 2        108.15 3       1840.75 4        151.65          ...    7038    1990.50 7039    7362.90 7040     346.45 7041     306.60 7042    6844.50 Name: TotalCharges, Length: 7043, dtype: float64>",0,5575,GNVDE
Male,0,0,0,2,1,0,DSL,1,1,0,0,0,0,Month-to-month,1,Mailed check,53.8499984741211,"<bound method Series.dropna of 0         29.85 1       1889.50 2        108.15 3       1840.75 4        151.65          ...    7038    1990.50 7039    7362.90 7040     346.45 7041     306.60 7042    6844.50 Name: TotalCharges, Length: 7043, dtype: float64>",1,3668,QPYBK
Male,0,0,0,45,0,NULL,DSL,1,0,1,1,0,0,One year,0,Bank transfer (automatic),42.2999992370605,"<bound method Series.dropna of 0         29.85 1       1889.50 2        108.15 3       1840.75 4        151.65          ...    7038    1990.50 7039    7362.90 7040     346.45 7041     306.60 7042    6844.50 Name: TotalCharges, Length: 7043, dtype: float64>",0,7795,CFOCW
Female,0,0,0,2,1,0,Fiber optic,0,0,0,0,0,0,Month-to-month,1,Electronic check,70.6999969482422,"<bound method Series.dropna of 0         29.85 1       1889.50 2        108.15 3       1840.75 4        151.65          ...    7038    1990.50 7039    7362.90 7040     346.45 7041     306.60 7042    6844.50 Name: TotalCharges, Length: 7043, dtype: float64>",1,9237,HQITU
Female,0,0,0,8,1,1,Fiber optic,0,0,1,0,1,1,Month-to-month,1,Electronic check,99.6500015258789,"<bound method Series.dropna of 0         29.85 1       1889.50 2        108.15 3       1840.75 4        151.65          ...    7038    1990.50 7039    7362.90 7040     346.45 7041     306.60 7042    6844.50 Name: TotalCharges, Length: 7043, dtype: float64>",1,9305,CDSKC
Male,0,0,1,22,1,1,Fiber optic,0,1,0,0,1,0,Month-to-month,1,Credit card (automatic),89.0999984741211,"<bound method Series.dropna of 0         29.85 1       1889.50 2        108.15 3       1840.75 4        151.65          ...    7038    1990.50 7039    7362.90 7040     346.45 7041     306.60 7042    6844.50 Name: TotalCharges, Length: 7043, dtype: float64>",0,1452,KIOVK
Female,0,0,0,10,0,NULL,DSL,1,0,0,0,0,0,Month-to-month,0,Mailed check,29.75,"<bound method Series.dropna of 0         29.85 1       1889.50 2        108.15 3       1840.75 4        151.65          ...    7038    1990.50 7039    7362.90 7040     346.45 7041     306.60 7042    6844.50 Name: TotalCharges, Length: 7043, dtype: float64>",0,6713,OKOMC
Female,0,1,0,28,1,1,Fiber optic,0,0,1,1,1,1,Month-to-month,1,Electronic check,104.800003051758,"<bound method Series.dropna of 0         29.85 1       1889.50 2        108.15 3       1840.75 4        151.65          ...    7038    1990.50 7039    7362.90 7040     346.45 7041     306.60 7042    6844.50 Name: TotalCharges, Length: 7043, dtype: float64>",1,7892,POOKP
Male,0,0,1,62,1,0,DSL,1,1,0,0,0,0,One year,0,Bank transfer (automatic),56.1500015258789,"<bound method Series.dropna of 0         29.85 1       1889.50 2        108.15 3       1840.75 4        151.65          ...    7038    1990.50 7039    7362.90 7040     346.45 7041     306.60 7042    6844.50 Name: TotalCharges, Length: 7043, dtype: float64>",0,6388,TABGU
